obs;MSFT;GE;GM;IBM;DIS;XOM;MKT;RKFREE
1997M10;-0,01748;-0,05051;-0,04108;-0,07075;0,02335;-0,04098;-0,03448;0,0042
1997M11;0,08846;0,14313;-0,04284;0,11371;0,15250;-0,00045;0,03050;0,0039
1997M12;-0,08657;-0,00271;0,05804;-0,04452;0,04279;0,00307;0,01775;0,0048
1998M01;0,15426;0,05622;-0,04630;-0,05615;0,08088;-0,03064;0,00453;0,0043
1998M02;0,13615;0,00323;0,19849;0,05962;0,04737;0,08173;0,07322;0,0039
1998M03;0,05605;0,11238;-0,01723;-0,00539;-0,04634;0,06078;0,05132;0,0039
1998M04;0,00698;-0,01160;-0,00554;0,11552;0,16834;0,08041;0,01088;0,0043
1998M05;-0,05895;-0,02128;0,07421;0,01592;-0,09082;-0,02946;-0,02573;0,0040
1998M06;0,27782;0,08996;-0,07043;-0,02287;-0,07230;0,01241;0,03200;0,0041
1998M07;0,01442;-0,01252;0,08232;0,15406;-0,01516;-0,01576;-0,02324;0,0040
1998M08;-0,12735;-0,10552;-0,18928;-0,14834;-0,20327;-0,06267;-0,15763;0,0043
1998M09;0,14723;-0,00172;-0,05591;0,14095;-0,07517;0,07927;0,06383;0,0046
1998M10;-0,03805;0,09976;0,15148;0,15564;0,06365;0,01416;0,07436;0,0032
1998M11;0,15230;0,03286;0,11375;0,11343;0,19490;0,05284;0,06200;0,0031
1998M12;0,13678;0,13250;0,02415;0,11658;-0,06796;-0,02500;0,06306;0,0038
1999M01;0,26183;0,02819;0,25415;-0,00610;0,10000;-0,03932;0,03835;0,0035
1999M02;-0,14214;-0,04350;-0,07451;-0,07247;0,06629;-0,04665;-0,03811;0,0035
1999M03;0,19400;0,10629;0,05435;0,04418;-0,11545;0,06009;0,03787;0,0043
1999M04;-0,09275;-0,04746;0,02371;0,18018;0,02008;0,17715;0,04897;0,0037
1999M05;-0,00769;-0,03499;-0,07125;0,11020;-0,08268;-0,03344;-0,02074;0,0034
1999M06;0,11774;0,11125;-0,04348;0,11422;0,05794;-0,03443;0,05096;0,0040
1999M07;-0,04851;-0,03230;-0,07386;-0,02756;-0,10548;0,02917;-0,03059;0,0038
1999M08;0,07866;0,03039;0,09202;-0,00800;0,00680;-0,00113;-0,01000;0,0039
1999M09;-0,02161;0,05876;-0,05000;-0,02860;-0,06306;-0,03645;-0,02284;0,0039
1999M10;0,02208;0,14286;0,11917;-0,18802;0,01923;-0,02549;0,06205;0,0039
1999M11;-0,01637;-0,03967;0,02928;0,05020;0,05981;0,07683;0,03687;0,0036
1999M12;0,28231;0,19239;0,00955;0,04669;0,04933;0,01576;0,08390;0,0044
2000M01;-0,16167;-0,13651;0,10834;0,04056;0,24145;0,03569;-0,03977;0,0041
2000M02;-0,08685;-0,00935;-0,04965;-0,08356;-0,07745;-0,09210;0,03178;0,0043
2000M03;0,18881;0,17873;0,08874;0,14842;0,23134;0,03485;0,05353;0,0047
2000M04;-0,34353;0,01044;0,13057;-0,05508;0,05000;-0,00321;-0,05949;0,0046
2000M05;-0,10305;0,00517;-0,24032;-0,03583;-0,03175;0,07807;-0,03905;0,0050
2000M06;0,27872;0,00593;-0,17788;0,02037;-0,07452;-0,05776;0,05168;0,0040
2000M07;-0,12734;-0,02690;-0,01938;0,02624;-0,00322;0,01911;-0,01711;0,0048
2000M08;0,00000;0,14095;0,27662;0,17514;0,00646;0,02581;0,07636;0,0050
2000M09;-0,13608;-0,01471;-0,09957;-0,14773;-0,01766;0,09188;-0,05112;0,0051
2000M10;0,14197;-0,04984;-0,04423;-0,12444;-0,06373;0,00070;-0,02455;0,0056
2000M11;-0,16697;-0,09578;-0,19517;-0,04944;-0,19197;-0,00838;-0,10254;0,0051
2000M12;-0,24401;-0,02956;0,02904;-0,09091;0,00726;-0,01207;0,02033;0,0050
2001M01;0,40778;-0,04083;0,05423;0,31765;0,05227;-0,03206;0,03954;0,0054
2001M02;-0,03378;0,01131;0,00223;-0,10687;0,01642;-0,03161;-0,09927;0,0039
2001M03;-0,07309;-0,09634;-0,02757;-0,03724;-0,07593;-0,00062;-0,07031;0,0044
2001M04;0,23886;0,15934;0,05709;0,19713;0,05769;0,09383;0,08392;0,0039
2001M05;0,02111;0,00968;0,04725;-0,02779;0,04529;0,00666;0,01056;0,0032
2001M06;0,05522;-0,00510;0,13093;0,01073;-0,08634;-0,01555;-0,01748;0,0028
2001M07;-0,09329;-0,10441;-0,01166;-0,06894;-0,08792;-0,04385;-0,01834;0,0030
2001M08;-0,13809;-0,05793;-0,13129;-0,04866;-0,03491;-0,03305;-0,05910;0,0031
2001M09;-0,10307;-0,08834;-0,21644;-0,08234;-0,26779;-0,01868;-0,09152;0,0028
2001M10;0,13641;-0,02124;-0,03683;0,17826;-0,00161;0,00127;0,02799;0,0022
2001M11;0,10421;0,05740;0,21491;0,07088;0,10113;-0,04613;0,07873;0,0017
2001M12;0,03177;0,04571;-0,02213;0,04646;0,02247;0,05080;0,01782;0,0015
2002M01;-0,03834;-0,07310;0,05226;-0,10805;0,01641;-0,00636;-0,01609;0,0015
2002M02;-0,08429;0,04118;0,04576;-0,08926;0,09212;0,06351;-0,02173;0,0015
2002M03;0,03377;-0,02727;0,14100;0,05993;0,00348;0,06126;0,04469;0,0015
2002M04;-0,13348;-0,15754;0,06121;-0,19462;0,00433;-0,08350;-0,04966;0,0015
2002M05;-0,02583;-0,01300;-0,02338;-0,03773;-0,01165;-0,00025;-0,01045;0,0015
2002M06;0,07445;-0,06134;-0,13998;-0,10503;-0,17503;0,02479;-0,07025;0,0015
2002M07;-0,12285;0,10843;-0,12909;-0,02222;-0,06190;-0,10166;-0,08113;0,0015
2002M08;0,02293;-0,06366;0,03888;0,07287;-0,11562;-0,02938;0,00799;0,0014
2002M09;-0,10880;-0,17645;-0,18721;-0,22645;-0,03444;-0,10014;-0,09997;0,0014
2002M10;0,22245;0,02434;-0,14524;0,35380;0,10304;0,05517;0,07495;0,0014
2002M11;0,07874;0,07406;0,20902;0,10299;0,18683;0,04070;0,06127;0,0012
2002M12;-0,10368;-0,09513;-0,07154;-0,10838;-0,16650;0,00402;-0,05331;0,0011
2003M01;-0,08201;-0,04969;-0,01438;0,00903;0,07296;-0,02261;-0,02344;0,0010
2003M02;0,00211;0,04754;-0,05670;-0,00128;-0,02514;0,00293;-0,01541;0,0009
2003M03;0,02152;0,06029;-0,00444;0,00616;-0,00234;0,02734;0,01034;0,0010
2003M04;0,05576;0,15490;0,07228;0,08249;0,09636;0,00715;0,08281;0,0010
2003M05;-0,03717;-0,02547;-0,00610;0,03887;0,05305;0,04119;0,06351;0,0009
2003M06;0,04185;0,00592;0,01896;-0,06293;0,00509;-0,01346;0,01634;0,0010
2003M07;0,03003;-0,00837;0,03972;-0,01515;0,10987;-0,00919;0,02313;0,0007
2003M08;0,00417;0,03973;0,11141;0,01132;-0,06478;0,06661;0,02491;0,0007
2003M09;0,04827;0,01454;-0,00414;0,07706;-0,01610;-0,02918;-0,00910;0,0008
2003M10;-0,05396;-0,02684;0,04251;0,01302;0,12246;-0,00055;0,06034;0,0007
2003M11;-0,01645;-0,01172;0,01430;0,01363;0,01988;-0,00355;0,01661;0,0007
2003M12;0,06457;0,08755;0,24825;0,02364;0,01949;0,13260;0,04553;0,0008
2004M01;0,01023;0,08554;-0,06966;0,07067;0,02872;-0,00512;0,02307;0,0007
2004M02;-0,04051;-0,02706;-0,02134;-0,02590;0,10542;0,03996;0,01547;0,0006
2004M03;-0,06031;-0,06150;-0,02120;-0,04829;-0,05805;-0,01375;-0,01069;0,0009
2004M04;0,04813;-0,01868;0,00679;-0,03996;-0,07843;0,02308;-0,02421;0,0008
2004M05;0,00383;0,03907;-0,03226;0,00681;0,01911;0,02280;0,01412;0,0006
2004M06;0,08883;0,04756;0,02644;-0,00497;0,08607;0,02682;0,02157;0,0008
2004M07;-0,00245;0,02623;-0,07405;-0,01225;-0,09415;0,04256;-0,03768;0,0010
2004M08;-0,03896;-0,01383;-0,03083;-0,02527;-0,02772;0,00151;0,00271;0,0011
2004M09;0,01282;0,03019;0,02832;0,01240;0,00445;0,04837;0,02056;0,0011
2004M10;0,01157;0,01608;-0,09251;0,04677;0,11840;0,01842;0,01780;0,0011
2004M11;0,06864;0,03634;0,01401;0,05203;0,06582;0,04673;0,04826;0,0015
2004M12;-0,00336;0,03846;0,03809;0,04605;0,04315;0,00020;0,03518;0,0016
