conum;year;gdp;pop;gold;silver;bronze;medaltot;host;planned;soviet;share
51;84;4530000000;640000;0;0;0;0;0;0;0;0
51;60;1270000000;573000;NA;NA;NA;NA;0;0;0;NA
51;64;1480000000;580000;NA;NA;NA;NA;0;0;0;NA
51;68;2280000000;602000;NA;NA;NA;NA;0;0;0;NA
51;76;2480000000;610070;NA;NA;NA;NA;0;0;0;NA
51;72;3090000000;613000;NA;NA;NA;NA;0;0;0;NA
53;80;134000000000;5123000;2;1;2;5;0;0;0;0
53;84;146000000000;5112000;0;3;3;6;0;0;0;0
54;84;460000000;366670;0;0;0;0;0;0;0;0
55;92;212000000;71940;NA;NA;NA;NA;0;0;0;NA
55;88;197000000;72770;NA;NA;NA;NA;0;0;0;NA
55;80;123000000;73350;NA;NA;NA;NA;0;0;0;NA
55;84;156000000;73830;NA;NA;NA;NA;0;0;0;NA
56;80;7550000000;5697000;0;0;0;0;0;0;0;0
56;84;8370000000;6235340;0;0;1;1;0;0;0;0
56;60;2200000000;3231000;NA;NA;NA;NA;0;0;0;NA
57;80;12300000000;7961000;0;0;0;0;0;0;0;0
57;84;13100000000;8867070;0;0;0;0;0;0;0;0
57;60;3450000000;4439000;NA;NA;NA;NA;0;0;0;NA
57;64;4100000000;4992720;NA;NA;NA;NA;0;0;0;NA
58;84;38200000000;45300000;0;1;0;1;0;0;0;0
58;60;9160000000;25900000;NA;NA;NA;NA;0;0;0;NA
58;64;12100000000;28600000;NA;NA;NA;NA;0;0;0;NA
58;68;13700000000;31700000;NA;NA;NA;NA;0;0;0;NA
58;80;29400000000;40900000;NA;NA;NA;NA;0;0;0;NA
59;84;6320000000;4730060;0;0;0;0;0;0;0;0
59;60;3380000000;2578000;NA;NA;NA;NA;0;0;0;NA
59;64;4470000000;2911770;NA;NA;NA;NA;0;0;0;NA
59;80;7320000000;4586000;NA;NA;NA;NA;0;0;0;NA
60;84;99300000;294840;0;0;0;0;0;0;0;0
61;92;521000000;3306260;NA;NA;NA;NA;0;0;0;NA
61;96;613000000;3670000;NA;NA;NA;NA;0;0;0;NA
63;80;4100000000;37700000;2;0;2;4;0;0;0;0
63;84;4560000000;42200000;NA;NA;NA;NA;0;0;0;NA
63;88;5140000000;47600000;NA;NA;NA;NA;0;0;0;NA
64;84;1530000000;686000;0;0;0;0;0;0;0;0
64;64;674000000;449000;NA;NA;NA;NA;0;0;0;NA
64;80;1470000000;634000;NA;NA;NA;NA;0;0;0;NA
65;80;95200000000;4780000;3;1;4;8;0;0;0;0
65;84;106000000000;4882000;4;2;6;12;0;0;0;0
66;84;750000000;2063550;0;0;0;0;0;0;0;0
67;84;2770000000;7350852;0;0;0;0;0;0;0;0
68;84;1220000000000;54900000;5;7;16;28;0;0;0;0
68;80;1150000000000;53900000;6;5;3;14;0;0;0;0
69;84;4120000000;788040;0;0;0;0;0;0;0;0
69;60;880000000;486000;NA;NA;NA;NA;0;0;0;NA
69;68;1450000000;491900;NA;NA;NA;NA;0;0;0;NA
69;64;1200000000;498420;NA;NA;NA;NA;0;0;0;NA
69;80;3570000000;691000;NA;NA;NA;NA;0;0;0;NA
70;84;284000000;719060;0;0;0;0;0;0;0;0
70;68;138000000;438490;NA;NA;NA;NA;0;0;0;NA
70;72;150000000;495250;NA;NA;NA;NA;0;0;0;NA
70;76;209000000;566650;NA;NA;NA;NA;0;0;0;NA
70;80;241000000;641000;NA;NA;NA;NA;0;0;0;NA
70;92;367000000;1001050;NA;NA;NA;NA;0;0;0;NA
71;92;5510000000;5454900;NA;NA;NA;NA;0;0;0;NA
72;60;59400000000;NA;3;9;7;19;0;0;1;NA
72;80;143000000000;17100000;47;37;42;126;0;0;1;0
72;84;167000000000;16700000;NA;NA;NA;NA;0;0;1;NA
72;64;65800000000;18500000;NA;NA;NA;NA;0;0;1;NA
73;84;1470000000000;60900000;17;19;23;59;0;0;0;0
73;60;675000000000;NA;13;19;13;45;0;0;0;NA
73;80;1440000000000;60600000;NA;NA;NA;NA;0;0;0;NA
75;84;3940000000;12200000;0;0;0;0;0;0;0;0
75;80;4230000000;10700000;NA;NA;NA;NA;0;0;0;NA
76;80;90400000000;9643000;1;0;2;3;0;0;0;0
76;84;93700000000;9896000;0;1;1;2;0;0;0;0
77;84;176000000;89749;0;0;0;0;0;0;0;0
77;80;154000000;90100;NA;NA;NA;NA;0;0;0;NA
79;80;10900000000;6820000;0;0;0;0;0;0;0;0
79;84;10400000000;7544610;0;0;0;0;0;0;0;0
79;60;3680000000;3963000;NA;NA;NA;NA;0;0;0;NA
79;64;4550000000;4441920;NA;NA;NA;NA;0;0;0;NA
80;80;503000000;4461000;0;0;0;0;0;0;0;0
80;84;1470000000;4860550;0;0;0;0;0;0;0;0
81;72;124000000;553020;NA;NA;NA;NA;0;0;0;NA
81;76;149000000;659090;NA;NA;NA;NA;0;0;0;NA
81;80;134000000;795000;NA;NA;NA;NA;0;0;0;NA
81;84;174000000;855030;NA;NA;NA;NA;0;0;0;NA
81;88;193000000;937690;NA;NA;NA;NA;0;0;0;NA
81;92;231000000;1012400;NA;NA;NA;NA;0;0;0;NA
82;80;614000000;759000;0;0;1;1;0;0;0;0
82;84;479000000;788720;0;0;0;0;0;0;0;0
82;88;472000000;794200;NA;NA;NA;NA;0;0;0;NA
83;84;3080000000;5751350;0;0;0;0;0;0;0;0
83;64;2070000000;4071870;NA;NA;NA;NA;0;0;0;NA
83;68;2080000000;4365880;NA;NA;NA;NA;0;0;0;NA
83;80;3250000000;5353000;NA;NA;NA;NA;0;0;0;NA
84;84;2760000000;4056920;0;0;0;0;0;0;0;0
84;60;980000000;1894000;NA;NA;NA;NA;0;0;0;NA
84;64;1150000000;2174670;NA;NA;NA;NA;0;0;0;NA
84;72;1720000000;2748530;NA;NA;NA;NA;0;0;0;NA
84;80;2640000000;3569000;NA;NA;NA;NA;0;0;0;NA
85;84;74500000000;5370000;0;0;0;0;0;0;0;0
85;80;56900000000;5039000;NA;NA;NA;NA;0;0;0;NA
86;80;45000000000;10700000;7;10;15;32;0;0;1;0
86;84;49200000000;10600000;NA;NA;NA;NA;0;0;1;NA
87;80;5150000000;228000;0;0;0;0;0;0;0;0
87;84;5590000000;239000;0;0;1;1;0;0;0;0
88;80;147000000000;687000000;1;0;0;1;0;0;0;0
88;84;181000000000;750000000;0;0;0;0;0;0;0;0
89;84;95000000000;160000000;0;0;0;0;0;0;0;0
89;64;25600000000;102000000;NA;NA;NA;NA;0;0;0;NA
89;80;74700000000;148000000;NA;NA;NA;NA;0;0;0;NA
90;80;55600000000;39100000;NA;NA;NA;NA;0;0;0;NA
90;84;70400000000;45300000;NA;NA;NA;NA;0;0;0;NA
91;80;99300000000;13000000;0;0;0;0;0;0;0;0
91;84;73700000000;14800000;0;0;0;0;0;0;0;0
91;72;38600000000;9985110;NA;NA;NA;NA;0;0;0;NA
92;80;34000000000;3401000;0;1;0;1;0;0;0;0
92;84;37400000000;3529000;0;1;0;1;0;0;0;0
93;84;49300000000;4159000;0;0;0;0;0;0;0;0
93;80;44100000000;3878000;NA;NA;NA;NA;0;0;0;NA
94;80;825000000000;56400000;8;3;4;15;0;0;0;0
94;84;865000000000;56600000;14;6;12;32;0;0;0;0
95;80;3110000000;2133000;0;0;3;3;0;0;0;0
95;84;3270000000;2279900;0;1;2;3;0;0;0;0
95;60;2100000000;1629000;NA;NA;NA;NA;0;0;0;NA
96;84;3650000000000;120000000;10;8;14;32;0;0;0;0
96;80;3230000000000;117000000;NA;NA;NA;NA;0;0;0;NA
97;80;3770000000;2181000;0;0;0;0;0;0;0;0
97;84;4700000000;2551300;0;0;0;0;0;0;0;0
98;92;27500000000;16500000;NA;NA;NA;NA;0;0;0;NA
99;84;6100000000;19200000;1;0;2;3;0;0;0;0
99;80;5620000000;16600000;NA;NA;NA;NA;0;0;0;NA
100;72;60900000;50560;NA;NA;NA;NA;0;0;0;NA
100;76;82600000;53850;NA;NA;NA;NA;0;0;0;NA
100;80;39100000;58100;NA;NA;NA;NA;0;0;0;NA
100;84;52700000;63560;NA;NA;NA;NA;0;0;0;NA
100;88;43900000;69380;NA;NA;NA;NA;0;0;0;NA
100;92;45000000;75350;NA;NA;NA;NA;0;0;0;NA
100;96;48700000;81600;NA;NA;NA;NA;0;0;0;NA
101;84;185000000000;40400000;6;6;7;19;0;0;0;0
101;80;134000000000;38100000;NA;NA;NA;NA;0;0;0;NA
102;80;23300000000;1375000;0;0;0;0;0;0;0;0
102;84;19200000000;1655470;0;0;0;0;0;0;0;0
102;64;18400000000;419510;NA;NA;NA;NA;0;0;0;NA
102;68;23300000000;635550;NA;NA;NA;NA;0;0;0;NA
103;92;5250000000;4493000;NA;NA;NA;NA;0;0;0;NA
104;80;904000000;3205000;0;0;0;0;0;0;0;0
104;84;1030000000;3494020;NA;NA;NA;NA;0;0;0;NA
106;80;2470000000;3002350;0;0;1;1;0;0;0;0
106;84;3170000000;3211290;0;0;0;0;0;0;0;0
107;80;419000000;1346000;0;0;0;0;0;0;0;0
107;84;411000000;1488700;0;0;0;0;0;0;0;0
107;60;125000000;870000;NA;NA;NA;NA;0;0;0;NA
107;64;176000000;944210;NA;NA;NA;NA;0;0;0;NA
107;68;198000000;1021740;NA;NA;NA;NA;0;0;0;NA
108;80;1280000000;1876000;0;0;0;0;0;0;0;0
108;84;1400000000;2134670;0;0;0;0;0;0;0;0
108;68;999000000;1304850;NA;NA;NA;NA;0;0;0;NA
109;80;26600000000;3043000;0;0;0;0;0;0;0;0
109;84;26000000000;3624840;0;0;0;0;0;0;0;0
110;84;1200000000;30000;0;0;0;0;0;0;0;0
110;80;919000000;30000;NA;NA;NA;NA;0;0;0;NA
112;80;8580000000;364900;0;0;0;0;0;0;0;0
112;84;9440000000;366200;0;0;0;0;0;0;0;0
113;84;3610000000;293270;NA;NA;NA;NA;0;0;0;NA
113;88;4840000000;345230;NA;NA;NA;NA;0;0;0;NA
113;92;6230000000;397910;NA;NA;NA;NA;0;0;0;NA
113;96;6920000000;439220;NA;NA;NA;NA;0;0;0;NA
114;92;2210000000;1925000;NA;NA;NA;NA;0;0;0;NA
115;80;3050000000;8873000;0;0;0;0;0;0;0;0
115;84;2770000000;9852150;0;0;0;0;0;0;0;0
115;60;2050000000;5367000;NA;NA;NA;NA;0;0;0;NA
115;88;2990000000;11000000;NA;NA;NA;NA;0;0;0;NA
116;84;1100000000;6960730;0;0;0;0;0;0;0;0
116;60;360000000;3529000;NA;NA;NA;NA;0;0;0;NA
116;64;395000000;3879350;NA;NA;NA;NA;0;0;0;NA
116;68;535000000;4268710;NA;NA;NA;NA;0;0;0;NA
116;80;1040000000;6183000;NA;NA;NA;NA;0;0;0;NA
117;84;41900000000;15300000;0;0;0;0;0;0;0;0
117;80;32300000000;13800000;NA;NA;NA;NA;0;0;0;NA
119;80;1740000000;6590000;0;0;0;0;0;0;0;0
119;84;1740000000;7208810;0;0;0;0;0;0;0;0
119;60;835000000;4350000;NA;NA;NA;NA;0;0;0;NA
120;84;1820000000;350880;0;0;0;0;0;0;0;0
120;80;1720000000;364000;0;0;0;0;0;0;0;0
120;64;380000000;318990;NA;NA;NA;NA;0;0;0;NA
121;92;94800000;NA;NA;NA;NA;NA;0;0;0;NA
121;96;89200000;NA;NA;NA;NA;NA;0;0;0;NA
121;88;93300000;NA;NA;NA;NA;NA;0;0;0;NA
122;84;763000000;1719570;0;0;0;0;0;0;0;0
122;60;291000000;991000;NA;NA;NA;NA;0;0;0;NA
122;64;424000000;1073570;NA;NA;NA;NA;0;0;0;NA
122;68;563000000;1168280;NA;NA;NA;NA;0;0;0;NA
122;72;646000000;1277720;NA;NA;NA;NA;0;0;0;NA
122;80;752000000;1551000;NA;NA;NA;NA;0;0;0;NA
122;92;925000000;2142140;NA;NA;NA;NA;0;0;0;NA
123;84;2040000000;1009230;0;0;0;0;0;0;0;0
123;60;739000000;660000;NA;NA;NA;NA;0;0;0;NA
123;64;971000000;736380;NA;NA;NA;NA;0;0;0;NA
123;68;939000000;798410;NA;NA;NA;NA;0;0;0;NA
123;72;1110000000;852050;NA;NA;NA;NA;0;0;0;NA
123;80;1740000000;966000;NA;NA;NA;NA;0;0;0;NA
124;84;235000000000;73900000;2;3;1;6;0;0;0;0
124;80;232000000000;67600000;0;1;3;4;0;0;0;0
125;88;192000000;92170;NA;NA;NA;NA;0;0;0;NA
125;92;190000000;99990;NA;NA;NA;NA;0;0;0;NA
125;96;207000000;109000;NA;NA;NA;NA;0;0;0;NA
126;92;4610000000;4351000;NA;NA;NA;NA;0;0;0;NA
127;80;528000000;30000;0;2;2;4;0;0;0;0
127;84;594000000;30000;0;0;0;0;0;0;0;0
128;84;865000000;1853550;0;0;0;0;0;0;0;0
128;60;451000000;959000;NA;NA;NA;NA;0;0;0;NA
128;80;697000000;1663000;NA;NA;NA;NA;0;0;0;NA
129;84;23900000000;21200000;2;0;0;2;0;0;0;0
129;80;21600000000;19400000;NA;NA;NA;NA;0;0;0;NA
130;80;1630000000;12100000;0;0;0;0;0;0;0;0
130;84;1250000000;13300000;0;0;0;0;0;0;0;0
131;80;23300000000;33800000;0;0;0;0;0;0;0;0
131;84;29200000000;36800000;0;0;0;0;0;0;0;0
131;88;26800000000;39500000;NA;NA;NA;NA;0;0;0;NA
132;80;2460000000;1030000;NA;NA;NA;NA;0;0;0;NA
132;84;2410000000;1146570;NA;NA;NA;NA;0;0;0;NA
132;88;2620000000;1278310;NA;NA;NA;NA;0;0;0;NA
133;96;283000000;NA;0;0;0;0;0;0;0;NA
133;92;239000000;NA;NA;NA;NA;NA;0;0;0;NA
133;88;178000000;NA;NA;NA;NA;NA;0;0;0;NA
134;80;2150000000;14500000;0;0;0;0;0;0;0;0
134;84;2570000000;16100000;0;0;0;0;0;0;0;0
134;60;1370000000;9263000;NA;NA;NA;NA;0;0;0;NA
134;68;1630000000;10800000;NA;NA;NA;NA;0;0;0;NA
135;84;298000000000;14400000;5;2;6;13;0;0;0;0
135;80;289000000000;14200000;0;1;2;3;0;0;0;0
136;84;1400000000;180170;0;0;0;0;0;0;0;0
136;80;1240000000;174000;NA;NA;NA;NA;0;0;0;NA
137;84;50200000000;3252800;8;1;2;11;0;0;0;0
137;80;43500000000;3113000;0;0;0;0;0;0;0;0
138;80;2030000000;2921000;0;0;0;0;0;0;0;0
138;84;2180000000;3312710;0;0;0;0;0;0;0;0
138;60;994000000;1542000;NA;NA;NA;NA;0;0;0;NA
138;64;1460000000;1752070;NA;NA;NA;NA;0;0;0;NA
138;88;1790000000;3657870;NA;NA;NA;NA;0;0;0;NA
139;60;1230000000;3028000;NA;NA;NA;NA;0;0;0;NA
139;80;1830000000;5586000;NA;NA;NA;NA;0;0;0;NA
139;84;1480000000;6395810;NA;NA;NA;NA;0;0;0;NA
140;80;22500000000;71100000;0;0;0;0;0;0;0;0
140;84;17600000000;80700000;0;1;1;2;0;0;0;0
141;80;26700000000;17700000;0;3;2;5;0;1;0;0
141;84;23800000000;18700000;NA;NA;NA;NA;0;1;0;NA
141;88;25400000000;19800000;NA;NA;NA;NA;0;1;0;NA
142;84;107000000000;4140000;0;1;2;3;0;0;0;0
142;80;96500000000;4091000;NA;NA;NA;NA;0;0;0;NA
143;84;6870000000;1345380;0;0;0;0;0;0;0;0
143;60;389000000;558000;NA;NA;NA;NA;0;0;0;NA
143;64;494000000;616210;NA;NA;NA;NA;0;0;0;NA
143;68;1580000000;684020;NA;NA;NA;NA;0;0;0;NA
143;72;2500000000;763010;NA;NA;NA;NA;0;0;0;NA
143;76;3590000000;887800;NA;NA;NA;NA;0;0;0;NA
143;80;3860000000;1101000;NA;NA;NA;NA;0;0;0;NA
144;84;33900000000;92300000;1;0;0;1;0;0;0;0
144;80;26300000000;82700000;NA;NA;NA;NA;0;0;0;NA
145;84;5960000000;2122860;0;0;0;0;0;0;0;0
145;80;5280000000;1950000;NA;NA;NA;NA;0;0;0;NA
146;84;3140000000;3367900;0;0;0;0;0;0;0;0
146;60;1230000000;1920000;NA;NA;NA;NA;0;0;0;NA
146;64;1570000000;2097780;NA;NA;NA;NA;0;0;0;NA
146;68;1990000000;2308380;NA;NA;NA;NA;0;0;0;NA
146;72;2680000000;2535130;NA;NA;NA;NA;0;0;0;NA
146;80;3050000000;3086000;NA;NA;NA;NA;0;0;0;NA
146;88;3620000000;3673550;NA;NA;NA;NA;0;0;0;NA
147;84;6090000000;3501040;0;0;0;0;0;0;0;0
147;60;1630000000;1842000;NA;NA;NA;NA;0;0;0;NA
147;64;1910000000;2030320;NA;NA;NA;NA;0;0;0;NA
147;72;2790000000;2462550;NA;NA;NA;NA;0;0;0;NA
147;80;5830000000;3114000;NA;NA;NA;NA;0;0;0;NA
148;80;48200000000;17300000;0;0;0;0;0;0;0;0
148;84;46800000000;19100000;0;1;0;1;0;0;0;0
149;84;57000000000;53200000;0;0;0;0;0;0;0;0
149;80;56400000000;48300000;NA;NA;NA;NA;0;0;0;NA
150;80;108000000000;35600000;3;14;15;32;0;0;1;0
150;84;103000000000;36900000;NA;NA;NA;NA;0;0;1;NA
151;84;71400000000;9989000;1;0;2;3;0;0;0;0
151;80;70300000000;9766000;0;0;0;0;0;0;0;0
152;80;27200000000;3206000;0;0;0;0;0;0;0;0
152;84;28600000000;3344840;0;1;1;2;0;0;0;0
153;84;7270000000;327890;0;0;0;0;0;0;0;0
154;80;36500000000;22200000;6;6;13;25;0;0;1;0
154;84;42600000000;22600000;20;16;17;53;0;0;1;0
155;80;1190000000000;265000000;80;69;46;195;1;0;1;0
155;84;1110000000000;275000000;NA;NA;NA;NA;0;0;1;NA
157;84;1810000000;5856100;0;0;0;0;0;0;0;0
157;60;757000000;2742000;NA;NA;NA;NA;0;0;0;NA
157;64;636000000;3086840;NA;NA;NA;NA;0;0;0;NA
157;68;834000000;3498060;NA;NA;NA;NA;0;0;0;NA
157;72;995000000;3975940;NA;NA;NA;NA;0;0;0;NA
157;76;1220000000;4528810;NA;NA;NA;NA;0;0;0;NA
157;80;1660000000;5163000;NA;NA;NA;NA;0;0;0;NA
158;84;138000000;157130;0;0;0;0;0;0;0;0
158;80;151000000;155000;NA;NA;NA;NA;0;0;0;NA
159;80;406000000;20000;0;0;0;0;0;0;0;0
159;84;445000000;20000;0;0;0;0;0;0;0;0
159;64;280000000;20000;NA;NA;NA;NA;0;0;0;NA
160;88;41700000;108630;NA;NA;NA;NA;0;0;0;NA
160;92;43000000;121760;NA;NA;NA;NA;0;0;0;NA
161;84;94300000000;11700000;0;0;0;0;0;0;0;0
161;60;15100000000;4075000;NA;NA;NA;NA;0;0;0;NA
